,region,adm,location,media_0,inse_1,inse_2,inse_3,inse_4,inse_5,inse_6,inse_7,inse_8,year
844,Alagoas,Estadual,Rural,4.11,7.62,40.59,21.7,15.01,8.72,4.38,1.84,0.14,2019
847,Alagoas,Municipal,Total,4.22,5.52,35.67,23.8,18.07,10.42,4.39,1.97,0.16,2019
850,Alagoas,Municipal,Urbana,4.3,4.29,32.71,24.59,19.42,11.65,4.9,2.25,0.19,2019
853,Alagoas,Municipal,Rural,4.03,8.47,42.76,21.9,14.83,7.46,3.18,1.3,0.1,2019
856,Alagoas,Privada,Total,5.55,0.07,2.6,7.94,16.42,21.33,21.9,24.03,5.71,2019
859,Alagoas,Privada,Urbana,5.56,0.07,2.55,7.91,16.37,21.33,21.94,24.09,5.74,2019
862,Alagoas,Privada,Rural,5.01,0,12.19,14.21,25.45,21.45,13.31,12.36,1.03,2019
874,Alagoas,Pública,Total,4.23,5.66,34.89,23.62,18.34,10.67,4.59,2.04,0.18,2019
877,Alagoas,Pública,Urbana,4.28,4.95,32.9,24.08,19.25,11.47,4.92,2.22,0.2,2019
880,Alagoas,Pública,Rural,4.04,8.39,42.53,21.88,14.85,7.59,3.3,1.35,0.1,2019
883,Sergipe,Total,Total,4.56,3.86,26.56,19.55,18.14,14.16,9.56,7.09,1.07,2019
