,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
86,2018,Ceará,Pública,29.50445,3726.839
89,2018,Rio Grande do Norte,Estadual,30.19297,4327.486
92,2018,Rio Grande do Norte,Privada,32.14612,2044.802
95,2018,Rio Grande do Norte,Pública,30.98159,4775.264
98,2018,Paraíba,Estadual,30.01576,2870.3
101,2018,Paraíba,Privada,26.70986,2180.202
104,2018,Paraíba,Pública,34.49398,3128.118
107,2018,Pernambuco,Estadual,36.78222,3174.164
110,2018,Pernambuco,Privada,30.18719,2435.595
113,2018,Pernambuco,Pública,35.9596,3457.259
116,2018,Alagoas,Estadual,29.91312,2711.46
119,2018,Alagoas,Privada,29.16399,2205.199
122,2018,Alagoas,Pública,29.21179,3732.422
125,2018,Sergipe,Estadual,39.85843,4425.42
128,2018,Sergipe,Privada,31.83445,1913.624
131,2018,Sergipe,Pública,38.15661,4612.969
134,2018,Bahia,Estadual,33.00336,6074.899
137,2018,Bahia,Privada,29.40821,2616.701
140,2018,Bahia,Pública,32.8586,4572.291
143,2018,Minas Gerais,Estadual,24.33301,4796.294
146,2018,Minas Gerais,Privada,27.20517,3827.913
149,2018,Minas Gerais,Pública,25.25776,4633.499
152,2018,Espírito Santo,Estadual,30.43456,3650.413
155,2018,Espírito Santo,Privada,29.05301,3476.96
158,2018,Espírito Santo,Pública,26.83706,4409.801
161,2018,Rio de Janeiro,Estadual,25.7715,3911.329
164,2018,Rio de Janeiro,Privada,29.15722,3108.672
167,2018,Rio de Janeiro,Pública,29.401,4677.541
170,2018,São Paulo,Estadual,32.61739,3958.882
173,2018,São Paulo,Privada,31.34248,3912.31
176,2018,São Paulo,Pública,32.41232,4690.645
179,2018,Paraná,Estadual,22.66578,6768.426
182,2018,Paraná,Privada,28.17175,3362.931
185,2018,Paraná,Pública,24.60792,5388.724
188,2018,Santa Catarina,Estadual,24.74603,4702.119
191,2018,Santa Catarina,Privada,29.37368,3555.288
194,2018,Santa Catarina,Pública,29.29605,4628.856
197,2018,Rio Grande do Sul,Estadual,31.33795,3298.691
200,2018,Rio Grande do Sul,Privada,27.183,3844.553
203,2018,Rio Grande do Sul,Pública,26.80891,4668.662
206,2018,Mato Grosso do Sul,Estadual,20.62703,7927.839
209,2018,Mato Grosso do Sul,Privada,27.86966,3539.139
212,2018,Mato Grosso do Sul,Pública,21.58441,6648.872
215,2018,Mato Grosso,Estadual,39.99871,3608.22
218,2018,Mato Grosso,Privada,26.98705,3865.912
221,2018,Mato Grosso,Pública,35.26953,4201.176
224,2018,Goiás,Estadual,39.59149,3962.959
227,2018,Goiás,Privada,29.60067,3062.731
230,2018,Goiás,Pública,35.73074,4845.009
233,2018,Distrito Federal,Estadual,34.70287,7661.231
236,2018,Distrito Federal,Privada,26.94757,5344.834
239,2018,Distrito Federal,Pública,34.82316,7783.835
2,2019,Rondônia,Privada,28.23814,3171.232
5,2019,Rondônia,Pública,34.98515,3577.602
8,2019,Acre,Estadual,26.35537,4587.662
